week,defense,ofensive ability,shooting,offense,rebs,total
270       PG D:18,12     Oa:17,65     Sh:10,00     O:15,35     R:8,03      T:16,31     
271       PG D:18,12     Oa:17,65     Sh:10,06     O:15,38     R:8,03      T:16,33     
272       PG D:18,13     Oa:17,66     Sh:10,12     O:15,40     R:8,04      T:16,34     
273       PG D:18,17     Oa:17,66     Sh:10,12     O:15,40     R:8,05      T:16,36     
274       PG D:18,21     Oa:17,67     Sh:10,13     O:15,41     R:8,06      T:16,38     
275       PG D:18,25     Oa:17,67     Sh:10,13     O:15,41     R:8,07      T:16,40     
276       PG D:18,30     Oa:17,68     Sh:10,14     O:15,42     R:8,07      T:16,42     
277       PG D:18,30     Oa:17,71     Sh:10,14     O:15,44     R:8,08      T:16,44     
278       PG D:18,31     Oa:17,74     Sh:10,15     O:15,46     R:8,08      T:16,45     
279       PG D:18,31     Oa:17,77     Sh:10,15     O:15,49     R:8,09      T:16,47     
280       PG D:18,32     Oa:17,80     Sh:10,16     O:15,51     R:8,09      T:16,48     
281       PG D:18,32     Oa:17,83     Sh:10,16     O:15,53     R:8,10      T:16,50     
282       PG D:18,33     Oa:17,86     Sh:10,17     O:15,56     R:8,10      T:16,52     
283       PG D:18,33     Oa:17,89     Sh:10,18     O:15,58     R:8,11      T:16,53     
284       PG D:18,36     Oa:17,91     Sh:10,18     O:15,59     R:8,11      T:16,55     
285       PG D:18,39     Oa:17,93     Sh:10,19     O:15,61     R:8,12      T:16,57     
286       PG D:18,41     Oa:17,95     Sh:10,19     O:15,62     R:8,12      T:16,59     
287       PG D:18,44     Oa:17,96     Sh:10,20     O:15,63     R:8,13      T:16,61     
288       PG D:18,44     Oa:17,97     Sh:10,25     O:15,65     R:8,13      T:16,62   
